Yelp ID,Business name,Category,Average star rating,Review count,Price,Ambience,mean_compound,pct_positive,pct_negative,cluster
jdVXlY3bD8LFp8QlW7wHww,Pony,"Modern European, Scandinavian",4.2,41,$$$,cozy,0.646,85.7,0.0,2
RMSIajJMvhfIs5AJIIX2AQ,Magasasa Dim Sum & Cocktails,"Cocktail Bars, Dim Sum",3.5,39,$$,,0.42,71.4,14.3,5
6i68LsbMZCcN_8WFLA7Qlg,Ristorante Buono,Italian,4.7,13,$$,,0.756,100.0,0.0,3
_OlJxoKsvEUrOjBVW4lqfQ,Nimb Terrasse,"Scandinavian, French",4.1,15,$$$,,0.582,85.7,14.3,2
-LxQ56ziISpAy6Snx7YZ3A,Reef N'Beef,Australian,4.1,27,$$,cozy,0.85,100.0,0.0,5
Nm4Br4EUQZAXT_EvexR5JQ,Pizzeria Mamemi & Wine Bar,"Pizza, Italian, Wine Bars",4.8,11,,,,,,3
XPJUFw62-d3lqH7fNNki7g,Ristorante L'Appetito,Italian,4.1,15,$$,,0.466,71.4,14.3,5
BAx8K5uj-_1qv9Ka1raRiA,BOB - BioMio Organic Bistro,"Modern European, Scandinavian, Organic Stores",3.3,98,$$,,0.217,57.1,14.3,6
Lq17O6C4UQBB4Noi42gBhg,Øl & Brød by Mikkeller,Restaurants,4.0,17,$$$,,0.225,71.4,14.3,2
YdBKHVCOxDz_pC7UhDMHZg,Sticks 'n' Sushi,"Sushi Bars, Japanese",4.2,105,$$$,,0.419,71.4,28.6,6
xwqhZeJVA5oFPZ4_yc9glg,Pho Hanoi,Vietnamese,3.9,76,$,,0.55,100.0,0.0,6
jeNR0xCt42G9OHToTiisTQ,Wok,Thai,4.0,29,$,,0.759,100.0,0.0,0
-TnG72eT8zM3dY8Kio134A,Tapas Huset,"Spanish, Tapas Bars, Wine Bars",4.1,19,$$,,0.305,71.4,28.6,5
jJoaGe7_iQeAopDjAIeEMg,NOSE2TAIL Madbodega,"Modern European, Danish",3.8,44,$$,,0.453,71.4,14.3,5
V-4K9eMBxz62qoIQzRbagw,Baan Thai Isarn,Thai,4.2,30,$,,0.652,85.7,0.0,0
iy4OrJexaV1PU2hrAWRonA,Nimb Bar'n'Grill,"Steakhouses, Cocktail Bars",4.3,20,$$$,,0.576,71.4,14.3,2
UT3Qj4C8rFS8qK2fZmdRMw,Spuntino,Italian,3.9,39,$$,,0.586,71.4,14.3,5
