Yelp ID,Business name,Category,cluster
1vp-75Ky5feOmFVO2etrnQ,Nimb Bar,Champagne Bars  Scandinavian  Breakfast and Brunch,0
SfgJUQkdVQTQoh54Xbem7w,Papa Ramen,Ramen  Soup,0
wawbC-_cUtlHUWQQL2atRQ,Boy's Shawarma & Kylling,Middle Eastern  Chicken Shop,0
9oc4qvMuoNIM14LM8XKbLg,Nicecream Copenhagen,Organic Stores  Vegan  Ice Cream and Frozen Yogurt,0
Cn1CN-m6TVDO6zn0rnG0Lg,Hija de Sanchez,Mexican  Fast Food,0
2xTCzUypNzs3j4zT-qFk1A,Husmann's Vinstue,Danish  Open Sandwiches,0
GnSL4u2SJFL_dwV1MPVFcA,Tivolihallen,Scandinavian,2
ibzuyz9Oo7JJtzwX4vX3Jw,Slice of San Francisco,Desserts  American  Mexican,0
oVm0eGsN2bCLIWSvp-Aleg,Scandic Copenhagen,Hotels  Scandinavian,2
TYCTIlkJ_bPFTJQW_o9Qtg,Hansens Gamle Familiehave,Scandinavian,2
ETqWLBffUYn6_8sLL7Lw7A,Restaurant Royal Garden,Dim Sum,0
qIiMq_2vrtpA_6ABFAL3jQ,Færgekroen Bryghus,Danish  Breweries,0
NsbGX5K0Xw1pV2-00L3fvA,Poulet,Salad  Chicken Shop,0
X7VnGhCxI4pIAVjqNyW7TA,Bento,Japanese,2
pe5FWVars1vxlBip14N25w,Tommi's Burger Joint,Burgers,0
r1zHu9qILM03inumhl_r9w,Sanchez,Mexican,2
6vmoOjHsxxT2VrsrarfFsQ,Al-Diwan,Pakistani  Indian  Halal,2
PE3v_Nt2omdkfjdwz7qiPQ,Hatoba,Japanese,2
t7r898m6zBYLK1_yUtzyRw,Vaffelbageriet,Desserts  Ice Cream and Frozen Yogurt  Waffles,0
RJfAtO6Upq0H8C7A1K-S9g,Il Buco,Italian,2
8F-kZJD0469Hb_rCMm3LRQ,Encke & Duers,Sandwiches  Vegetarian  Meat Shops,0
K_Rkq5YuKzTH2t5vMV-lmQ,Kanal Caféen,Open Sandwiches  Danish,0
0gInoPNojP0tj5QZ-Xy4CA,Fu Hao,Dim Sum  Asian Fusion,2
jhCfpjsM3uqJAJkYaSRbdQ,Made In Italy,Pizza  Italian,0
FH5jNuLDx4n0IxEIkR-wdg,La Galette,Creperies  French,2
OpEXzkZ9-mEnvujwXtUCUg,Hot Pot Republic,Chinese  Pan Asian,2
iJB11vo9oN6HuZ-qpxKseQ,Oscar Bar Cafe,Gay Bars  Danish  Party and Event Planning,0
qAk2DMJgnQkubc76kupVIg,LêLê Street Kitchen Vesterbro,Vietnamese  Food Delivery Services,0
BizDrQ47YKN9_ZmcMHVG_w,Il Grappolo Blu,Italian,2
ah8-o7ePvYlDGq6swW9LPw,Johns Hotdog Deli,Hot Dogs,0
sToVJMxsbFGd_Rp9ITtBNA,Fredco's Deli,Salad  Sandwiches,0
-XBzl8A6j31bUfj0Thes9Q,Café Trold,Breakfast and Brunch  Bars  Danish,0
Ql6OilkTKwjrtzDgSPfAJg,PUBLIC - The Italian Social Dining Bar,Italian,2
bHSgWYf8tFLnP_z1pBfknQ,La Mensa Di Benito,Food  Pizza,0
L81UmGObLGrwNOx8jIzwLA,Lundgren V.I.P.,Beer  Wine and Spirits  Tapas/Small Plates  Delis,0
cpSY6riPU6ev7cQhGI-EHQ,Cocks & Cows,Burgers,0
bKAJ1aOCA6AJTrZUb8l6Yg,Pho Saigon,Vietnamese,2
DBDMpjrIM32ouTobKL3RNw,Da Salvo,Pizza  Italian,0
10P1VnQlyxFY8sKCR5x_eA,Floras Steakhouse,Steakhouses,0
6-M4t5b-HlxQkZyeNRqimA,Gasoline Grill,Burgers  Fast Food,0
u1i1EJbonoTQD0FsqOgH9w,Les Trois Cochons,French,2
4My2yhGh8kIuMIiV23l7nA,Sticks'n'Sushi,Sushi Bars  Lounges  Cocktail Bars,0
ILSKTOnVyJkZ37g3Rh3jlw,Thai Corner,Thai,2
OlyZUbwTZ2SGKPinEh7efQ,Restaurant Flammen,Salad  Buffets  Barbeque,0
-hgFcHfSe56HSll2kyS_ug,La Fiesta Mexicana,Mexican,2
lgodTpuCucirKKpFpsg2YA,Kiin Kiin Tok Tok,Thai,2
7J6CZJX-xabrytCgF7P-Zw,Restaurant Sultan,Restaurants,0
kJtIGAoNJ6yuaNE5Er16dg,Birthes Smørrebrød,Open Sandwiches,0
Kz617M-ghSoGC9KDSLxEQA,The American Pie Company,American  Desserts,3
yHCImZFK75Pbsksq2JuUTg,Isted Grill,Fast Food  Imported Food,0
HlncUJWMRsHZq6dA-Xrdzw,Københavner Cafeen,Bars  Danish  Open Sandwiches,0
A22O6Xd9AKT49UvxvA-9wg,Bryggeriet Apollo,Restaurants  Beer  Wine and Spirits  Breweries,0
RX-N1kSl2JN9XVGB9LrcvA,The Silo,Cocktail Bars  Bistros,0
FZYTd9p8OVmNX4-RkKk-EA,Østerbro Madhus,Restaurants,0
e_rAIXOi59j1XgHxbtKrpw,Sushi Anaba,Sushi Bars  Japanese,0
AX_zR1XaELPhj7P0YLa_Wg,Buvette Nordhavn,French  Wine Bars,0
CIgTdIjsXaiC1FVtPVLTCA,Co-ma,Italian  French  Cocktail Bars,0
