Yelp ID,Business name,Average star rating,Price,review_snippets,mean_compound,pct_positive,pct_neutral,pct_negative
cxTmz837SQlvgguXPabjuQ,Natur Tørst,4.7,$,5,0.801,100.0,0.0,0.0
BtlJIvMvVkF7Y_VurhVdIQ,Stempel Bar & Kitchen,3.3,$,7,0.797,100.0,0.0,0.0
7wP5O1LLfjlb7rQtFeJ60g,Frede & Vester's,4.3,$,5,0.793,100.0,0.0,0.0
z7oX73b5K7yY2goYHJFelw,Orango Coffee,4.5,$,4,0.792,100.0,0.0,0.0
-c0jjCGzrfjQKroHgj6jZg,Wulff og Konstali,4.3,$$$,7,0.787,100.0,0.0,0.0
6Q7Uo-7hvibT1s94hgjVFg,Røde Roses Kaffebar,4.0,$,6,0.786,100.0,0.0,0.0
5mgrCQ0C02L6vWemjSO5Gg,Fata'Morgana,3.3,$$,5,0.786,100.0,0.0,0.0
VJa2qf1s1e7lsxOS_S9lgQ,Leckerbaer,4.1,$,6,0.784,83.3,16.7,0.0
l-dxI6jE4CcbPpwz0VKV6Q,Godthåb & Kaffe,4.4,$,3,0.783,100.0,0.0,0.0
nIv8G7Zd0WzfYhgt16PUGw,Massimo,4.6,$,7,0.78,100.0,0.0,0.0
j5XejEZmzX6oeFrGiClH4w,Kaffe lladro Vesterbro,3.8,$,1,0.774,100.0,0.0,0.0
2eBbcKP2dhD6DYG388_Flg,Funder,4.3,$,7,0.772,100.0,0.0,0.0
gAHr1iqgLRC2bDSYeqowHg,Café Høegs,3.2,$,7,0.767,100.0,0.0,0.0
8HwHXj1qJFL31h5lTOp9MQ,Kaffebaren på Amager,4.1,$,7,0.766,100.0,0.0,0.0
FDmtlwqudmVWNjPJT8MmGg,Original Coffee,4.9,$$,4,0.762,100.0,0.0,0.0
2N8VAWkwGKEdJfgQ9IuFJw,OLUFs is,4.3,$$,7,0.761,100.0,0.0,0.0
bEMIylW09wrhKeHvtnZ1aw,Mokkariet,3.9,$,5,0.758,100.0,0.0,0.0
Xsw5d1YgRXxE8wfhqo3ymg,Café Nexus,3.2,$,1,0.757,100.0,0.0,0.0
0W-LQ1V4zZ5x5WdjAQ9JvQ,Cafe Den Blå Hund,2.7,$$,3,0.756,100.0,0.0,0.0
S5YhwZSOdLQLeUr9TcKIIA,Enghave Kaffe,4.3,$,7,0.752,85.7,14.3,0.0
pwpdEgtJN-RH2VibZiE1Kg,Klint - Design Museum Denmark Cafe,4.7,$,7,0.751,100.0,0.0,0.0
G7lB52sM0tBUwuepkVdXPw,Maude's,3.1,$,1,0.75,100.0,0.0,0.0
6mStSf8kqt96O0bHWID3Pw,Kaffe,4.4,$,7,0.748,100.0,0.0,0.0
